CASEID,HELPFUL,FAIR,TRUST,YEAR,AGE,SEX,RACE,HISPANIC,EDUC,DEGREE,MARITAL
    1,2,2,3,1972,23,2,1, 0,16,3,5
    2,1,2,1,1972,70,1,1, 0,10,0,1
    3,2,1,2,1972,48,2,1, 0,12,1,1
    4,2,2,2,1972,27,2,1, 0,17,3,1
    5,2,2,2,1972,61,2,1, 0,12,1,1
    6,1,2,1,1972,26,1,1, 0,14,1,5
    7,2,1,2,1972,28,1,1, 0,13,1,3
    8,2,1,1,1972,27,1,1, 0,16,3,5
    9,8,1,2,1972,21,2,2, 0,12,1,5
   10,1,2,2,1972,30,2,2, 0,12,1,1
   11,3,3,8,1972,30,2,2, 0,13,1,1
   12,2,2,2,1972,56,1,2, 0, 6,0,1
   13,1,1,2,1972,54,1,2, 0, 9,0,1
   14,1,1,2,1972,49,2,2, 0, 8,0,3
   15,3,1,1,1972,41,1,2, 0, 9,0,1
   16,2,2,2,1972,54,1,2, 0,14,1,1
   17,1,2,1,1972,24,1,1, 0,14,1,1
   18,1,2,2,1972,62,2,1, 0, 8,0,1
   19,1,2,1,1972,46,2,1, 0,17,3,1
   20,2,1,2,1972,21,2,1, 0,14,1,5
   21,2,1,2,1972,57,1,1, 0,12,1,1
   22,1,2,1,1972,58,1,1, 0,11,1,1
   23,2,2,1,1972,21,1,1, 0,13,1,1
   24,2,1,1,1972,26,2,1, 0,12,1,1
   25,1,2,1,1972,71,2,1, 0,16,3,1
   26,1,2,1,1972,53,2,1, 0,12,1,1
   27,1,2,1,1972,42,1,1, 0,12,1,1
   28,2,1,1,1972,42,2,1, 0,12,1,1
   29,1,1,1,1972,20,1,1, 0,12,1,1
   30,2,8,1,1972,23,1,1, 0, 9,0,1
   31,2,1,2,1972,26,1,1, 0, 6,0,1
   32,1,2,1,1972,25,2,1, 0,14,1,1
   33,2,2,2,1972,26,1,1, 0,16,3,5
   34,1,8,8,1972,78,2,1, 0, 8,0,1
   35,1,1,2,1972,21,1,1, 0,12,1,1
   36,1,2,1,1972,27,1,1, 0,14,1,1
   37,1,2,1,1972,58,2,1, 0,13,1,1
   38,1,2,1,1972,35,2,1, 0,10,0,1
   39,2,2,2,1972,58,1,1, 0, 6,0,5
   40,1,2,1,1972,51,2,1, 0,12,1,1
   41,1,2,1,1972,76,2,1, 0, 8,0,2
   42,2,2,2,1972,53,1,1, 0,14,1,1
   43,2,1,2,1972,39,1,1, 0, 8,0,1
   44,1,2,1,1972,64,2,1, 0, 8,0,1
   45,1,2,2,1972,50,2,1, 0, 8,0,1
   46,2,1,2,1972,27,2,1, 0,12,1,1
   47,1,2,1,1972,25,1,1, 0,14,1,5
   48,2,2,1,1972,49,1,1, 0,12,1,1
   49,1,2,1,1972,40,1,1, 0, 9,0,1
   50,2,1,2,1972,43,1,1, 0, 8,0,1
   51,2,2,1,1972,46,1,1, 0,10,0,1
   52,2,2,1,1972,37,1,1, 0,14,1,1
   53,2,1,1,1972,46,1,1, 0, 9,0,1
   54,1,2,1,1972,22,2,1, 0,12,1,1
   55,2,1,2,1972,53,2,1, 0,10,0,1
   56,1,2,2,1972,35,1,1, 0,12,1,1
   57,1,2,1,1972,31,2,1, 0,14,1,1
   58,1,2,2,1972,30,2,1, 0,12,1,1
   59,1,2,1,1972,37,2,1, 0,12,1,1
   60,1,2,1,1972,57,2,1, 0,11,0,1
   61,2,2,2,1972,39,1,1, 0,12,1,1
   62,8,1,2,1972,62,2,1, 0, 9,0,1
   63,1,2,1,1972,51,1,1, 0,12,1,1
   64,1,2,1,1972,43,1,1, 0,11,0,1
   65,1,2,1,1972,39,1,1, 0,12,1,1
   66,1,1,2,1972,52,2,1, 0, 8,0,1
   67,2,1,2,1972,30,1,1, 0,12,1,1
   68,1,2,1,1972,47,2,1, 0,12,1,1
   69,1,2,2,1972,31,2,1, 0,12,1,5
   70,2,2,1,1972,25,1,1, 0,16,3,1
   71,2,3,2,1972,45,1,1, 0, 7,0,1
   72,2,2,2,1972,30,2,1, 0,12,1,1
   73,1,2,1,1972,68,1,1, 0, 8,0,1
   74,2,1,2,1972,63,2,1, 0,11,0,1
   75,2,2,2,1972,19,1,1, 0,12,1,5
   76,2,2,2,1972,23,1,1, 0,16,3,5
   77,2,1,2,1972,46,2,1, 0,10,0,1
   78,2,1,2,1972,55,2,1, 0, 8,0,2
   79,2,1,2,1972,22,1,1, 0,14,1,5
   80,1,3,1,1972,55,2,1, 0,12,1,5
   81,2,2,1,1972,44,1,1, 0, 7,0,1
   82,1,2,1,1972,41,2,1, 0,12,1,1
   83,3,3,3,1972,49,1,1, 0,15,1,3
   84,8,3,1,1972,28,2,1, 0,15,1,1
   85,2,1,2,1972,21,1,1, 0,14,1,5
   86,2,2,1,1972,26,1,1, 0,17,3,1
   87,2,1,2,1972,31,2,1, 0,20,4,1
   88,3,3,3,1972,28,2,1, 0,18,4,5
   89,2,2,1,1972,26,1,1, 0,17,3,1
   90,2,2,1,1972,20,2,2, 0,14,1,5
   91,2,2,1,1972,25,1,1, 0,16,3,1
   92,1,2,1,1972,57,2,1, 0,12,1,1
   93,1,2,1,1972,58,2,1, 0,13,1,1
   94,1,2,1,1972,54,1,1, 0,14,1,1
